,City,Airport,Enplanements,Link,latitude,longitude
196,Gillette,Gillette–Campbell County Airport,28383.0,/wiki/Gillette%E2%80%93Campbell_County_Airport,44.34889,-105.53944
197,Joplin,Joplin Regional Airport,27930.0,/wiki/Joplin_Regional_Airport,37.15167,-94.49833
198,New Haven,Tweed New Haven Regional Airport,27911.0,/wiki/Tweed_New_Haven_Regional_Airport,41.26389,-72.88667
199,Garden City,Garden City Regional Airport,26825.0,/wiki/Garden_City_Regional_Airport,37.9275,-100.72444
200,Butte,Bert Mooney Airport,25890.0,/wiki/Bert_Mooney_Airport,45.95472,-112.4975
201,Cincinnati,Cincinnati Municipal Lunken Airport,25706.0,/wiki/Cincinnati_Municipal_Lunken_Airport,39.10333,-84.41861
202,Pellston,Pellston Regional Airport,25497.0,/wiki/Pellston_Regional_Airport,45.57083,-84.79667
203,Hancock,Houghton County Memorial Airport,25439.0,/wiki/Houghton_County_Memorial_Airport,47.16833,-88.48917
204,Rhinelander,Rhinelander–Oneida County Airport,24477.0,/wiki/Rhinelander%E2%80%93Oneida_County_Airport,45.63083,-89.46639
205,Eau Claire,Chippewa Valley Regional Airport,23950.0,/wiki/Chippewa_Valley_Regional_Airport,44.86583,-91.48417
206,Owensboro,Owensboro-Daviess County Regional Airport,23537.0,/wiki/Owensboro-Daviess_County_Regional_Airport,37.73889,-87.16694
207,Watertown,Watertown International Airport,22785.0,/wiki/Watertown_International_Airport,43.99194,-76.02056
208,Williamsport,Williamsport Regional Airport,22547.0,/wiki/Williamsport_Regional_Airport,41.24167,-76.92167
209,Longview,East Texas Regional Airport,22480.0,/wiki/East_Texas_Regional_Airport,32.38389,-94.71139
210,Petersburg,Petersburg James A. Johnson Airport,21896.0,/wiki/Petersburg_James_A._Johnson_Airport,56.80139,-132.94611
211,Mammoth Lakes,Mammoth Yosemite Airport,21826.0,/wiki/Mammoth_Yosemite_Airport,37.62417,-118.83889
212,Sault Ste. Marie,Chippewa County International Airport,20974.0,/wiki/Chippewa_County_International_Airport,46.25083,-84.4725
213,Paducah,Barkley Regional Airport,20266.0,/wiki/Barkley_Regional_Airport,37.06028,-88.77306
214,Rota Island,Rota International Airport,19178.0,/wiki/Rota_International_Airport,14.17444,145.2425
215,Cordova,Merle K. (Mudhole) Smith Airport,18649.0,/wiki/Merle_K._(Mudhole)_Smith_Airport,60.49167,-145.4775
216,Brainerd,Brainerd Lakes Regional Airport,18200.0,/wiki/Brainerd_Lakes_Regional_Airport,46.40222,-94.13556
217,Muskegon,Muskegon County Airport,18165.0,/wiki/Muskegon_County_Airport,43.16778,-86.23556
218,Page,Page Municipal Airport,17435.0,/wiki/Page_Municipal_Airport,36.92611,-111.44833
219,Block Island,Block Island State Airport,17225.0,/wiki/Block_Island_State_Airport,41.16806,-71.57778
220,Westerly,Westerly State Airport,17218.0,/wiki/Westerly_State_Airport,41.34972,-71.80333
221,Escanaba,Delta County Airport,16822.0,/wiki/Delta_County_Airport,45.72278,-87.09361
222,Dickinson,Dickinson Theodore Roosevelt Regional Airport,16822.0,/wiki/Dickinson_Theodore_Roosevelt_Regional_Airport,46.79722,-102.80194
223,Rockland,Knox County Regional Airport,16206.0,/wiki/Knox_County_Regional_Airport,44.06,-69.09917
224,Laramie,Laramie Regional Airport,15957.0,/wiki/Laramie_Regional_Airport,41.31194,-105.675
225,North Las Vegas,North Las Vegas Airport,15828.0,/wiki/North_Las_Vegas_Airport,36.21056,-115.19444
226,St. Cloud,St. Cloud Regional Airport,15615.0,/wiki/St._Cloud_Regional_Airport,45.54667,-94.06
227,Ogden,Ogden-Hinckley Airport,15609.0,/wiki/Ogden-Hinckley_Airport,41.19556,-112.01306
228,Hobbs,Lea County Regional Airport,14707.0,/wiki/Lea_County_Regional_Airport,32.6875,-103.21694
229,Cedar City,Cedar City Regional Airport,14413.0,/wiki/Cedar_City_Regional_Airport,37.70083,-113.09889
230,International Falls,Falls International Airport,13831.0,/wiki/Falls_International_Airport,48.56556,-93.40222
231,Aniak,Aniak Airport,13688.0,/wiki/Aniak_Airport,61.58167,-159.54306
232,Friday Harbor,Friday Harbor Airport,12831.0,/wiki/Friday_Harbor_Airport,48.52194,-123.02444
233,Iron Mountain,Ford Airport,12604.0,/wiki/Ford_Airport_(Iron_Mountain),45.81833,-88.11444
234,Presque Isle,Northern Maine Regional Airport at Presque Isle,12526.0,/wiki/Northern_Maine_Regional_Airport_at_Presque_Isle,46.68889,-68.04472
235,Farmingdale,Republic Airport,10910.0,/wiki/Republic_Airport,40.72889,-73.41333
236,Galena,Edward G. Pitka Sr. Airport,10532.0,/wiki/Edward_G._Pitka_Sr._Airport,64.73611,-156.9375
237,Lebanon,Lebanon Municipal Airport,10245.0,/wiki/Lebanon_Municipal_Airport_(New_Hampshire),43.62611,-72.30417
238,Alpena,Alpena County Regional Airport,10031.0,/wiki/Alpena_County_Regional_Airport,45.07806,-83.56028
239,Sidney,Sidney–Richland Municipal Airport,8065.0,/wiki/Sidney%E2%80%93Richland_Municipal_Airport,47.70694,-104.1925
240,Jamestown,Jamestown Regional Airport,7941.0,/wiki/Jamestown_Regional_Airport,46.92972,-98.67833
